"","OBJECTID","Field1","ID","Species","n","freq","Class","X","Y"
"234",249,249,"FM9","Ash",1,"4%","Canopy",-78.20198681,38.6277055
"567",584,584,"SMS6","Ash",2,"22%","Canopy",-78.20270522,38.58126096
"309",326,326,"JM16","Green ash",1,"14%","Canopy",-78.226217,38.605819
