"","Plot.ID","Species","n","rel.freq","Class"
"130","BU3","Hickory",3,"100%","Canopy"
"131","BU4","Ailanthus",1,"33%","Canopy"
"132","BU4","Tulip poplar",2,"67%","Canopy"
"133","BU5",NA,1,"100%","Canopy"
"134","BU6",NA,1,"100%","Canopy"
"135","BU7",NA,1,"100%","Canopy"
"136","BU8","Ailanthus",4,"44%","Canopy"
"137","BU8","Black cherry",2,"22%","Canopy"
"138","BU8","Red maple",1,"11%","Canopy"
"139","BU8","Tulip poplar",2,"22%","Canopy"
"140","BU9","Black locust",2,"33%","Canopy"
"141","BU9","Hickory",1,"17%","Canopy"
"142","BU9","Tulip poplar",3,"50%","Canopy"
"143","BW1","Black cherry",1,"25%","Canopy"
"144","BW1","Black gum",2,"50%","Canopy"
"145","BW1","Black walnut",1,"25%","Canopy"
"146","BW10",NA,1,"100%","Canopy"
"147","BW11",NA,1,"100%","Canopy"
"148","BW12",NA,1,"100%","Canopy"
"149","BW2",NA,1,"100%","Canopy"
"150","BW3",NA,1,"100%","Canopy"
"151","BW4",NA,1,"100%","Canopy"
"152","BW5",NA,1,"100%","Canopy"
"153","BW6",NA,1,"100%","Canopy"
"154","BW7",NA,1,"100%","Canopy"
"155","BW8",NA,1,"100%","Canopy"
"156","BW9",NA,1,"100%","Canopy"
"157","CR1",NA,1,"100%","Canopy"
"158","CR10",NA,1,"100%","Canopy"
"159","CR11",NA,1,"100%","Canopy"
"160","CR12","Ailanthus",3,"27%","Canopy"
"161","CR12","Red maple",7,"64%","Canopy"
"162","CR12","White oak",1,"9%","Canopy"
"163","CR2","Black cherry",1,"10%","Canopy"
"164","CR2","Blackgum",1,"10%","Canopy"
"165","CR2","Blackhaw",1,"10%","Canopy"
"166","CR2","Hickory",3,"30%","Canopy"
"167","CR2","Red maple",1,"10%","Canopy"
"168","CR2","Red oak",2,"20%","Canopy"
"169","CR2","Sassafras",1,"10%","Canopy"
"170","CR3","Black locust",1,"20%","Canopy"
"171","CR3","Hickory",3,"60%","Canopy"
"172","CR3","Persimmon",1,"20%","Canopy"
"173","CR4","Hickory",2,"33%","Canopy"
"174","CR4","Red maple",2,"33%","Canopy"
"175","CR4","Tulip poplar",2,"33%","Canopy"
"176","CR5","Walnut",2,"100%","Canopy"
"177","CR6","Blackgum",2,"33%","Canopy"
"178","CR6","Red maple",2,"33%","Canopy"
"179","CR6","Tulip poplar",2,"33%","Canopy"
"180","CR7",NA,1,"100%","Canopy"
"181","CR8",NA,1,"100%","Canopy"
"182","CR9",NA,1,"100%","Canopy"
"183","FL1","Ailanthus",3,"50%","Canopy"
"184","FL1","Black cherry",1,"17%","Canopy"
"185","FL1","Hackberry",1,"17%","Canopy"
"186","FL1","Mulberry",1,"17%","Canopy"
"187","FL10","Ailanthus",1,"12%","Canopy"
"188","FL10","Black oak",1,"12%","Canopy"
"189","FL10","Hickory",2,"25%","Canopy"
"190","FL10","Red maple",1,"12%","Canopy"
"191","FL10","Red oak",1,"12%","Canopy"
"192","FL10","Sassafras",1,"12%","Canopy"
"193","FL10","White oak",1,"12%","Canopy"
"194","FL11","Black oak",1,"17%","Canopy"
"195","FL11","Blackgum",1,"17%","Canopy"
"196","FL11","Tulip poplar",1,"17%","Canopy"
"197","FL11","White oak",3,"50%","Canopy"
"198","FL2","Black cherry",2,"50%","Canopy"
"199","FL2","Hickory",1,"25%","Canopy"
"200","FL2","Red maple",1,"25%","Canopy"
"201","FL3","Boxelder",1,"8%","Canopy"
"202","FL3","Hickory",2,"15%","Canopy"
"203","FL3","Red maple",6,"46%","Canopy"
"204","FL3","Sweet birch",1,"8%","Canopy"
"205","FL3","Tulip poplar",3,"23%","Canopy"
"206","FL4","Ailanthus",4,"40%","Canopy"
"207","FL4","Black cherry",2,"20%","Canopy"
"208","FL4","Hickory",3,"30%","Canopy"
"209","FL4","Red maple",1,"10%","Canopy"
"210","FL5","Dogwood",1,"25%","Canopy"
"211","FL5","Hickory",1,"25%","Canopy"
"212","FL5","Tulip poplar",1,"25%","Canopy"
"213","FL5","Unknown",1,"25%","Canopy"
"214","FL6",NA,1,"100%","Canopy"
"215","FL7",NA,1,"100%","Canopy"
"216","FL8","Black cherry",1,"25%","Canopy"
"217","FL8","Dogwood",1,"25%","Canopy"
"218","FL8","Sassafras",1,"25%","Canopy"
"219","FL8","Tulip poplar",1,"25%","Canopy"
"220","FL9","Black cherry",1,"14%","Canopy"
"221","FL9","Blackgum",2,"29%","Canopy"
"222","FL9","Red maple",2,"29%","Canopy"
"223","FL9","Tulip poplar",2,"29%","Canopy"
"224","FM1","Chestnut oak",2,"20%","Canopy"
"225","FM1","White pine",8,"80%","Canopy"
"226","FM10","Chestnut oak",2,"50%","Canopy"
"227","FM10","Red maple",1,"25%","Canopy"
"228","FM10","White oak",1,"25%","Canopy"
"229","FM11",NA,1,"100%","Canopy"
"230","FM12",NA,1,"100%","Canopy"
"231","FM2","Blackgum",2,"50%","Canopy"
"232","FM2","Hickory",1,"25%","Canopy"
"233","FM2","Tulip poplar",1,"25%","Canopy"
"234","FM3","Red maple",7,"47%","Canopy"
"235","FM3","Tulip poplar",8,"53%","Canopy"
"236","FM4","Chestnut oak",2,"25%","Canopy"
"237","FM4","Hickory",2,"25%","Canopy"
"238","FM4","Red maple",2,"25%","Canopy"
"239","FM4","Tulip poplar",1,"12%","Canopy"
"240","FM4","White pine",1,"12%","Canopy"
"241","FM5","Hickory",1,"50%","Canopy"
"242","FM5","Hornbeam",1,"50%","Canopy"
"243","FM6","Black oak",2,"40%","Canopy"
"244","FM6","Chestnut oak",1,"20%","Canopy"
"245","FM6","White pine",2,"40%","Canopy"
"246","FM7","Chestnut oak",2,"67%","Canopy"
"247","FM7","Sweet birch",1,"33%","Canopy"
"248","FM8",NA,1,"100%","Canopy"
"249","FM9","Ash",1,"4%","Canopy"
"250","FM9","Blackgum",1,"4%","Canopy"
"251","FM9","Eastern hemlock",1,"4%","Canopy"
"252","FM9","Hickory",1,"4%","Canopy"
"253","FM9","Hornbeam",2,"7%","Canopy"
"254","FM9","Red maple",1,"4%","Canopy"
"255","FM9","Sweet birch",11,"41%","Canopy"
"256","FM9","Witch hazel",9,"33%","Canopy"
"257","GS1",NA,1,"100%","Canopy"
"258","GS2",NA,1,"100%","Canopy"
"259","GS3","Hickory",2,"29%","Canopy"
"260","GS3","Red maple",2,"29%","Canopy"
"261","GS3","Red oak",2,"29%","Canopy"
"262","GS3","Tulip poplar",1,"14%","Canopy"
"263","GS4","Red maple",1,"14%","Canopy"
"264","GS4","Tulip poplar",5,"71%","Canopy"
"265","GS4","White pine",1,"14%","Canopy"
"266","GS5","Blackgum",3,"33%","Canopy"
"267","GS5","Chestnut oak",3,"33%","Canopy"
"268","GS5","Red maple",1,"11%","Canopy"
"269","GS5","Red oak",1,"11%","Canopy"
"270","GS5","Tulip poplar",1,"11%","Canopy"
"271","GS6","Beech",1,"10%","Canopy"
"272","GS6","Blackgum",2,"20%","Canopy"
"273","GS6","Chestnut oak",1,"10%","Canopy"
"274","GS6","Hickory",1,"10%","Canopy"
"275","GS6","Sweet birch",4,"40%","Canopy"
"276","GS6","Tulip poplar",1,"10%","Canopy"
