,Plot.ID,Species,n,rel.freq,Class
146,CR6,Blackgum,2,33%,Canopy
147,CR6,Red maple,2,33%,Canopy
148,CR6,Tulip poplar,2,33%,Canopy
149,FL1,Ailanthus,3,50%,Canopy
150,FL1,Black cherry,1,17%,Canopy
151,FL1,Hackberry,1,17%,Canopy
152,FL1,Mulberry,1,17%,Canopy
153,FL10,Ailanthus,1,12%,Canopy
154,FL10,Black oak,1,12%,Canopy
155,FL10,Hickory,2,25%,Canopy
156,FL10,Red maple,1,12%,Canopy
157,FL10,Red oak,1,12%,Canopy
158,FL10,Sassafras,1,12%,Canopy
159,FL10,White oak,1,12%,Canopy
160,FL11,Black oak,1,17%,Canopy
161,FL11,Blackgum,1,17%,Canopy
162,FL11,Tulip poplar,1,17%,Canopy
163,FL11,White oak,3,50%,Canopy
164,FL2,Black cherry,2,50%,Canopy
165,FL2,Hickory,1,25%,Canopy
166,FL2,Red maple,1,25%,Canopy
167,FL3,Boxelder,1,8%,Canopy
168,FL3,Hickory,2,15%,Canopy
169,FL3,Red maple,6,46%,Canopy
170,FL3,Sweet birch,1,8%,Canopy
171,FL3,Tulip poplar,3,23%,Canopy
172,FL4,Ailanthus,4,40%,Canopy
173,FL4,Black cherry,2,20%,Canopy
174,FL4,Hickory,3,30%,Canopy
175,FL4,Red maple,1,10%,Canopy
176,FL5,Dogwood,1,25%,Canopy
177,FL5,Hickory,1,25%,Canopy
178,FL5,Tulip poplar,1,25%,Canopy
179,FL5,Unknown,1,25%,Canopy
180,FL8,Black cherry,1,25%,Canopy
181,FL8,Dogwood,1,25%,Canopy
182,FL8,Sassafras,1,25%,Canopy
183,FL8,Tulip poplar,1,25%,Canopy
184,FL9,Black cherry,1,14%,Canopy
185,FL9,Blackgum,2,29%,Canopy
186,FL9,Red maple,2,29%,Canopy
187,FL9,Tulip poplar,2,29%,Canopy
188,FM1,Chestnut oak,2,20%,Canopy
189,FM1,White pine,8,80%,Canopy
190,FM10,Chestnut oak,2,50%,Canopy
191,FM10,Red maple,1,25%,Canopy
192,FM10,White oak,1,25%,Canopy
193,FM2,Blackgum,2,50%,Canopy
194,FM2,Hickory,1,25%,Canopy
195,FM2,Tulip poplar,1,25%,Canopy
196,FM3,Red maple,7,47%,Canopy
197,FM3,Tulip poplar,8,53%,Canopy
198,FM4,Chestnut oak,2,25%,Canopy
199,FM4,Hickory,2,25%,Canopy
200,FM4,Red maple,2,25%,Canopy
201,FM4,Tulip poplar,1,12%,Canopy
202,FM4,White pine,1,12%,Canopy
203,FM5,Hickory,1,50%,Canopy
204,FM5,Hornbeam,1,50%,Canopy
205,FM6,Black oak,2,40%,Canopy
206,FM6,Chestnut oak,1,20%,Canopy
207,FM6,White pine,2,40%,Canopy
208,FM7,Chestnut oak,2,67%,Canopy
209,FM7,Sweet birch,1,33%,Canopy
210,FM9,Ash,1,4%,Canopy
211,FM9,Blackgum,1,4%,Canopy
212,FM9,Eastern hemlock,1,4%,Canopy
213,FM9,Hickory,1,4%,Canopy
214,FM9,Hornbeam,2,7%,Canopy
215,FM9,Red maple,1,4%,Canopy
216,FM9,Sweet birch,11,41%,Canopy
217,FM9,Witch hazel,9,33%,Canopy
218,GS3,Hickory,2,29%,Canopy
219,GS3,Red maple,2,29%,Canopy
220,GS3,Red oak,2,29%,Canopy
221,GS3,Tulip poplar,1,14%,Canopy
222,GS4,Red maple,1,14%,Canopy
223,GS4,Tulip poplar,5,71%,Canopy
224,GS4,White pine,1,14%,Canopy
225,GS5,Blackgum,3,33%,Canopy
226,GS5,Chestnut oak,3,33%,Canopy
227,GS5,Red maple,1,11%,Canopy
228,GS5,Red oak,1,11%,Canopy
229,GS5,Tulip poplar,1,11%,Canopy
230,GS6,Beech,1,10%,Canopy
231,GS6,Blackgum,2,20%,Canopy
232,GS6,Chestnut oak,1,10%,Canopy
233,GS6,Hickory,1,10%,Canopy
234,GS6,Sweet birch,4,40%,Canopy
235,GS6,Tulip poplar,1,10%,Canopy
236,GS8,Red maple,3,50%,Canopy
237,GS8,Red oak,1,17%,Canopy
238,GS8,Tulip poplar,2,33%,Canopy
239,HW1,Black oak,2,40%,Canopy
240,HW1,Tulip poplar,3,60%,Canopy
241,HW10,Hickory,1,17%,Canopy
242,HW10,Sweet birch,4,67%,Canopy
243,HW10,Tulip poplar,1,17%,Canopy
244,HW11,Ailanthus,1,14%,Canopy
245,HW11,Tulip poplar,4,57%,Canopy
246,HW11,White oak,2,29%,Canopy
