OBJECTID,Name,FolderPath,SymbolID,AltMode,Base,Snippet,PopupInfo,HasLabel,LabelID,X,Y
87,SL 9,Document,0,-1,0,,,-1,0,-78.19830825,38.61667681
88,FM1,Document,0,-1,0,,,-1,0,-78.20337762,38.61993806
89,GS 1,Document,0,-1,0,,,-1,0,-78.17239929,38.54228654
90,QW14,Document,0,-1,0,,,-1,0,-78.19125049,38.56992597
91,SL 11,Document,0,-1,0,,,-1,0,-78.19855979,38.62084399
92,JM3,Document,0,-1,0,,,-1,0,-78.22677,38.607791
93,BU 1,Document,0,-1,0,,,-1,0,-78.17656221,38.58223068
94,QW8,Document,0,-1,0,,,-1,0,-78.19290446,38.57338422
95,JM17,Document,0,-1,0,,,-1,0,-78.222802,38.609037
96,FM7,Document,0,-1,0,,,-1,0,-78.20720401,38.62486471
97,WM7,Document,0,-1,0,,,-1,0,-78.20642153,38.56115787
98,QW11,Document,0,-1,0,,,-1,0,-78.19235143,38.5684354
99,RMH 4,Document,0,-1,0,,,-1,0,-78.1987684,38.60361962
100,PT7,Document,0,-1,0,,,-1,0,-78.21549569,38.63312948
101,FL 2,Document,0,-1,0,,,-1,0,-78.20518141,38.63400567
102,WM10,Document,0,-1,0,,,-1,0,-78.213597,38.5461
103,RMM2 Ctrl,Document,0,-1,0,,,-1,0,-78.20053576,38.60133786
104,RMM2 6,Document,0,-1,0,,,-1,0,-78.19824846,38.59916252
105,WM4,Document,0,-1,0,,,-1,0,-78.211492,38.551358
106,FL3,Document,0,-1,0,,,-1,0,-78.20692369,38.63291757
107,SMH1,Document,0,-1,0,,,-1,0,-78.19602887,38.59419346
108,RMH 7,Document,0,-1,0,,,-1,0,-78.19569901,38.59949202
109,SMS6,Document,0,-1,0,,,-1,0,-78.20270522,38.58126096
110,RMM4,Document,0,-1,0,,,-1,0,-78.20029258,38.60108755
111,JM12,Document,0,-1,0,,,-1,0,-78.217433,38.609884
112,HW3,Document,0,-1,0,,,-1,0,-78.19851357,38.58663849
113,BN4,Document,0,-1,0,,,-1,0,-78.17604931,38.58680683
114,CR10,Document,0,-1,0,,,-1,0,-78.209852,38.564816
115,HW11,Document,0,-1,0,,,-1,0,-78.19808123,38.58463793
116,BH1,Document,0,-1,0,,,-1,0,-78.19203256,38.57533385
117,BH2,Document,0,-1,0,,,-1,0,-78.19184175,38.57674379
118,FL8,Document,0,-1,0,,,-1,0,-78.20378725,38.63254875
119,PT 1,Document,0,-1,0,,,-1,0,-78.20939154,38.63554038
120,HW2,Document,0,-1,0,,,-1,0,-78.19796152,38.58553207
121,QW1,Document,0,-1,0,,,-1,0,-78.19134029,38.56767924
122,FM8,Document,0,-1,0,,,-1,0,-78.20350028,38.63007443
123,CR5,Document,0,-1,0,,,-1,0,-78.21414,38.561834
124,BH11,Document,0,-1,0,,,-1,0,-78.18845702,38.5846322
125,RK6,Document,0,-1,0,,,-1,0,-78.218618,38.550711
126,SM10,Document,0,-1,0,,,-1,0,-78.20361765,38.59331647
127,FL9,Document,0,-1,0,,,-1,0,-78.20322248,38.63504511
128,BN5,Document,0,-1,0,,,-1,0,-78.17263268,38.58810222
129,BA13A,Document,0,-1,0,,,-1,0,-78.179579,38.550865
130,QW2,Document,0,-1,0,,,-1,0,-78.19127986,38.56883043
131,RK8,Document,0,-1,0,,,-1,0,-78.221549,38.550978
132,BA3,Document,0,-1,0,,,-1,0,-78.189005,38.548276
133,HW8,Document,0,-1,0,,,-1,0,-78.19366426,38.58432289
134,CR4,Document,0,-1,0,,,-1,0,-78.215285,38.563199
135,JM4,Document,0,-1,0,,,-1,0,-78.222904,38.610793
